cpu_config,workload_type,num_vms,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time
RISC-V-like,cpu_heavy,5,Proposed Hybrid,107.47550000000001,152.58944,24.71074,0.9867799999999999,0.022112,4.0,0.8,0.6306200000000001,563.9238,30.2,1.51,228.6552
RISC-V-like,cpu_heavy,10,Contextual Bandit RL,290.10208,335.55708,63.94314000000001,0.99326,0.021914,9.0,0.9,0.3176,1136.3752,84.2,4.21,457.63620000000003
RISC-V-like,cpu_heavy,10,PRM,187.384,232.83901999999998,166.24705999999998,0.99326,0.021914,8.0,0.8,0.13822,1136.3752,10.2,0.51,457.63620000000003
RISC-V-like,cpu_heavy,10,PRR,198.40902,243.86404000000002,154.27357999999998,0.99326,0.021914,8.4,0.8400000000000001,0.23078000000000004,1136.3752,52.6,2.63,457.63620000000003
RISC-V-like,cpu_heavy,10,Proposed Hybrid,256.96619999999996,302.42118,69.164,0.99326,0.021914,8.8,0.8800000000000001,0.29562,1136.3752,81.4,4.07,457.63620000000003
RISC-V-like,cpu_heavy,20,Contextual Bandit RL,649.9852,695.0966999999999,134.97812,0.99658,0.022112,19.0,0.95,0.13369999999999999,2255.5762,186.8,9.34,905.3165999999999
RISC-V-like,cpu_heavy,20,PRM,400.95376,446.06530000000004,375.24584,0.99658,0.022112,17.8,0.89,0.09024,2255.5762,21.4,1.0699999999999998,905.3165999999999
RISC-V-like,cpu_heavy,20,PRR,425.6879,470.7994,342.20724,0.99658,0.022112,18.4,0.9199999999999999,0.25476,2255.5762,163.8,8.190000000000001,905.3165999999999
RISC-V-like,cpu_heavy,20,Proposed Hybrid,570.1378,615.2493,142.00972000000002,0.99658,0.022112,19.0,0.95,0.18524,2255.5762,188.8,9.440000000000001,905.3165999999999
RISC-V-like,cpu_heavy,50,Contextual Bandit RL,1758.4826,1804.4162000000001,408.51822000000004,0.99864,0.021756,47.6,0.952,0.05336,5741.6956,492.8,24.64,2299.7644
RISC-V-like,cpu_heavy,50,PRM,1060.3135200000002,1106.2471,1028.59038,0.99864,0.021756,47.2,0.944,0.04412,5741.6956,60.0,3.0,2299.7644
RISC-V-like,cpu_heavy,50,PRR,1124.67704,1170.6106,931.50314,0.99864,0.021756,48.6,0.9719999999999999,0.1278,5741.6956,524.0,26.2,2299.7644
RISC-V-like,cpu_heavy,50,Proposed Hybrid,1347.1621,1393.0956600000002,458.73724000000004,0.99864,0.021756,48.0,0.96,0.10366,5741.6956,503.4,25.169999999999998,2299.7644
RISC-V-like,cpu_heavy,100,Contextual Bandit RL,3495.57296,3540.2162,895.5139800000001,0.9993000000000001,0.022394,95.8,0.958,0.04194,11160.810000000001,983.2,49.160000000000004,4467.409799999999
RISC-V-like,cpu_heavy,100,PRM,2083.04842,2127.69166,2052.0254400000003,0.9993000000000001,0.022394,96.4,0.9640000000000001,0.03506,11160.810000000001,116.0,5.8,4467.409799999999
RISC-V-like,cpu_heavy,100,PRR,2208.84842,2253.49166,1856.986,0.9993000000000001,0.022394,98.8,0.9879999999999999,0.09274,11160.810000000001,1058.4,52.92,4467.409799999999
RISC-V-like,cpu_heavy,100,Proposed Hybrid,2550.6180400000003,2595.26126,1136.93812,0.9993000000000001,0.022394,97.6,0.976,0.04252,11160.810000000001,997.2,49.86,4467.409799999999
RISC-V-like,light,5,Contextual Bandit RL,0.14596,5.82552,0.14596,0.53162,0.093542,0.0,0.0,0.9699,28.3978,4.0,0.2,54.5828
RISC-V-like,light,5,PRM,0.14596,5.82552,0.14596,0.53162,0.093542,0.0,0.0,0.9699,28.3978,4.0,0.2,54.5828
RISC-V-like,light,5,PRR,0.14596,5.82552,0.14596,0.53162,0.093542,0.0,0.0,0.9699,28.3978,4.0,0.2,54.5828
RISC-V-like,light,5,Proposed Hybrid,0.14596,5.82552,0.14596,0.53162,0.093542,0.0,0.0,0.9699,28.3978,4.0,0.2,54.5828
RISC-V-like,light,10,Contextual Bandit RL,0.12868,5.85956,0.12868,0.52,0.09041600000000001,0.0,0.0,0.9737199999999999,57.3088,9.0,0.45,111.282
RISC-V-like,light,10,PRM,0.12868,5.85956,0.12868,0.52,0.09041600000000001,0.0,0.0,0.9737199999999999,57.3088,9.0,0.45,111.282
RISC-V-like,light,10,PRR,0.12868,5.85956,0.12868,0.52,0.09041600000000001,0.0,0.0,0.9737199999999999,57.3088,9.0,0.45,111.282
RISC-V-like,light,10,Proposed Hybrid,0.12868,5.85956,0.12868,0.52,0.09041600000000001,0.0,0.0,0.9737199999999999,57.3088,9.0,0.45,111.282
RISC-V-like,light,20,Contextual Bandit RL,0.12,5.79946,0.12,0.52978,0.09321,0.2,0.01,0.97552,113.58900000000001,19.0,0.95,215.154
RISC-V-like,light,20,PRM,0.12,5.79946,0.12,0.52978,0.09321,0.2,0.01,0.97552,113.58900000000001,19.0,0.95,215.154
RISC-V-like,light,20,PRR,0.12,5.79946,0.12,0.52978,0.09321,0.2,0.01,0.97552,113.58900000000001,19.0,0.95,215.154
RISC-V-like,light,20,Proposed Hybrid,0.12,5.79946,0.12,0.52978,0.09321,0.2,0.01,0.97552,113.58900000000001,19.0,0.95,215.154
