scheduler,cpu_config,num_vms,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time,workload_type,seed
PRR,ARM-like,10,47.5249,62.7849,37.2449,0.9572,0.06272,8,0.8,0.3424,217.455,16,0.8,159.43,normal,5
PRM,ARM-like,10,38.6238,53.8838,34.2567,0.9572,0.06272,6,0.6,0.3501,217.455,12,0.6,159.43,normal,5
Contextual Bandit RL,ARM-like,10,70.8355,86.0955,22.1791,0.9572,0.06272,9,0.9,0.1577,217.455,28,1.4,159.43,normal,5
Proposed Hybrid,ARM-like,10,51.8155,67.0755,24.5073,0.9572,0.06272,9,0.9,0.2582,217.455,27,1.35,159.43,normal,5
PRR,ARM-like,10,247.5139,300.5409,183.7586,0.9943,0.01875,9,0.9,0.1132,1259.393,44,2.2,533.321,cpu_heavy,1
PRM,ARM-like,10,216.2515,269.2786,147.1527,0.9943,0.01875,9,0.9,0.1655,1259.393,12,0.6,533.321,cpu_heavy,1
Contextual Bandit RL,ARM-like,10,352.1527,405.1798,55.348,0.9943,0.01875,9,0.9,0.3476,1259.393,88,4.4,533.321,cpu_heavy,1
Proposed Hybrid,ARM-like,10,305.8892,358.9162,88.1704,0.9943,0.01875,9,0.9,0.2656,1259.393,79,3.95,533.321,cpu_heavy,1
PRR,ARM-like,10,190.1076,235.1276,148.4982,0.9955,0.02211,8,0.8,0.1639,1069.225,62,3.1,452.25,cpu_heavy,2
PRM,ARM-like,10,171.1864,216.2064,167.9488,0.9955,0.02211,8,0.8,0.1334,1069.225,10,0.5,452.25,cpu_heavy,2
Contextual Bandit RL,ARM-like,10,293.7346,338.7546,47.1288,0.9955,0.02211,9,0.9,0.193,1069.225,82,4.1,452.25,cpu_heavy,2
Proposed Hybrid,ARM-like,10,250.9758,295.9958,74.9029,0.9955,0.02211,9,0.9,0.2256,1069.225,78,3.9,452.25,cpu_heavy,2
PRR,ARM-like,10,220.1252,270.1676,149.5594,0.9973,0.01993,9,0.9,0.1352,1188.506,60,3.0,501.764,cpu_heavy,3
PRM,ARM-like,10,225.197,275.2394,194.4676,0.9973,0.01993,8,0.8,0.1436,1188.506,10,0.5,501.764,cpu_heavy,3
Contextual Bandit RL,ARM-like,10,307.3711,357.4135,90.9899,0.9973,0.01993,9,0.9,0.3036,1188.506,75,3.75,501.764,cpu_heavy,3
Proposed Hybrid,ARM-like,10,273.9017,323.9441,81.0088,0.9973,0.01993,9,0.9,0.3104,1188.506,87,4.35,501.764,cpu_heavy,3
PRR,ARM-like,10,210.1534,259.5192,188.7322,0.9904,0.02006,8,0.8,0.5633,1172.44,56,2.8,498.429,cpu_heavy,4
PRM,ARM-like,10,220.0181,269.3839,220.0181,0.9904,0.02006,8,0.8,0.1124,1172.44,9,0.45,498.429,cpu_heavy,4
Contextual Bandit RL,ARM-like,10,296.9169,346.2828,78.771,0.9904,0.02006,9,0.9,0.2236,1172.44,90,4.5,498.429,cpu_heavy,4
Proposed Hybrid,ARM-like,10,255.5592,304.9251,67.7463,0.9904,0.02006,8,0.8,0.3553,1172.44,67,3.35,498.429,cpu_heavy,4
PRR,ARM-like,10,211.6513,260.1878,169.2113,0.9914,0.02043,8,0.8,0.1627,1152.741,43,2.15,489.585,cpu_heavy,5
PRM,ARM-like,10,187.2336,235.7701,175.9113,0.9914,0.02043,8,0.8,0.1605,1152.741,10,0.5,489.585,cpu_heavy,5
Contextual Bandit RL,ARM-like,10,347.7866,396.3231,43.5878,0.9914,0.02043,10,1.0,0.4352,1152.741,97,4.85,489.585,cpu_heavy,5
Proposed Hybrid,ARM-like,10,282.1572,330.6936,77.1113,0.9914,0.02043,9,0.9,0.329,1152.741,91,4.55,489.585,cpu_heavy,5
PRR,ARM-like,10,171.4974,209.2456,130.7103,0.9866,0.02614,9,0.9,0.1829,717.216,24,1.2,382.602,bursty,1
PRM,ARM-like,10,139.4468,177.195,92.7644,0.9866,0.02614,8,0.8,0.2201,717.216,12,0.6,382.602,bursty,1
Contextual Bandit RL,ARM-like,10,240.0056,277.7538,58.6621,0.9866,0.02614,9,0.9,0.3091,717.216,71,3.55,382.602,bursty,1
Proposed Hybrid,ARM-like,10,208.635,246.3832,84.0738,0.9866,0.02614,9,0.9,0.3529,717.216,62,3.1,382.602,bursty,1
PRR,ARM-like,10,83.7531,111.8943,50.8166,0.9908,0.03521,6,0.6,0.2535,534.682,31,1.55,284.032,bursty,2
PRM,ARM-like,10,80.9225,109.0637,78.7849,0.9908,0.03521,5,0.5,0.2223,534.682,11,0.55,284.032,bursty,2
Contextual Bandit RL,ARM-like,10,160.8284,188.9696,45.8719,0.9908,0.03521,9,0.9,0.1862,534.682,39,1.95,284.032,bursty,2
Proposed Hybrid,ARM-like,10,91.4614,119.6025,40.939,0.9908,0.03521,8,0.8,0.4469,534.682,35,1.75,284.032,bursty,2
PRR,ARM-like,10,134.0207,168.1889,90.7125,0.9975,0.02919,9,0.9,0.2007,649.196,37,1.85,342.542,bursty,3
PRM,ARM-like,10,148.0842,182.2525,116.8195,0.9975,0.02919,7,0.7,0.2023,649.196,11,0.55,342.542,bursty,3
