workload_type,num_vms,cpu_config,scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead
mixed,5,RISC-V-like,Proposed Hybrid,14.9083,28.5887,10.8052,0.9197,0.0708,0.5200,0.6497,123.1238,6.4000,0.3200
mixed,10,RISC-V-like,Contextual Bandit RL,49.8185,66.4214,23.0883,0.9578,0.0609,0.7600,0.4486,298.8508,20.4000,1.0200
mixed,10,RISC-V-like,PRM,44.7112,61.3140,37.8390,0.9578,0.0609,0.6200,0.2928,298.8508,10.8000,0.5400
mixed,10,RISC-V-like,PRR,46.5424,63.1453,36.4557,0.9578,0.0609,0.6200,0.3171,298.8508,17.2000,0.8600
mixed,10,RISC-V-like,Proposed Hybrid,36.6170,53.2199,27.0431,0.9578,0.0609,0.6600,0.4616,298.8508,18.0000,0.9000
mixed,20,RISC-V-like,Contextual Bandit RL,127.6658,144.1027,51.4633,0.9782,0.0645,0.8100,0.2361,591.7264,56.6000,2.8300
mixed,20,RISC-V-like,PRM,92.9477,109.3845,83.4538,0.9782,0.0645,0.6900,0.2616,591.7264,22.8000,1.1400
mixed,20,RISC-V-like,PRR,96.6886,113.1254,76.4603,0.9782,0.0645,0.7600,0.2397,591.7264,47.8000,2.3900
mixed,20,RISC-V-like,Proposed Hybrid,91.4670,107.9039,56.8264,0.9782,0.0645,0.7800,0.2754,591.7264,48.2000,2.4100
mixed,50,RISC-V-like,Contextual Bandit RL,326.9374,343.6033,113.9580,0.9919,0.0612,0.8240,0.1568,1499.9284,158.4000,7.9200
mixed,50,RISC-V-like,PRM,251.9005,268.5664,239.0334,0.9919,0.0612,0.7560,0.2127,1499.9284,58.8000,2.9400
mixed,50,RISC-V-like,PRR,241.5471,258.2130,203.4600,0.9919,0.0612,0.7920,0.2139,1499.9284,151.6000,7.5800
mixed,50,RISC-V-like,Proposed Hybrid,251.3561,268.0219,158.6505,0.9919,0.0612,0.8520,0.1768,1499.9284,160.0000,8.0000
mixed,100,RISC-V-like,Contextual Bandit RL,615.5793,632.2368,273.4417,0.9961,0.0602,0.8120,0.1514,2998.3344,316.8000,15.8400
mixed,100,RISC-V-like,PRM,528.2968,544.9542,509.6261,0.9961,0.0602,0.7840,0.1903,2998.3344,118.4000,5.9200
mixed,100,RISC-V-like,PRR,482.5228,499.1802,422.2916,0.9961,0.0602,0.8140,0.1850,2998.3344,344.4000,17.2200
mixed,100,RISC-V-like,Proposed Hybrid,548.3105,564.9679,368.0985,0.9961,0.0602,0.9120,0.0989,2998.3344,334.0000,16.7000
normal,5,RISC-V-like,Contextual Bandit RL,26.6294,40.8299,6.7629,0.9342,0.0669,0.7200,0.6048,106.5030,11.8000,0.5900
normal,5,RISC-V-like,PRM,21.0099,35.2103,14.8169,0.9342,0.0669,0.4400,0.4576,106.5030,5.2000,0.2600
normal,5,RISC-V-like,PRR,22.5390,36.7395,12.2364,0.9342,0.0669,0.5600,0.4982,106.5030,8.0000,0.4000
normal,5,RISC-V-like,Proposed Hybrid,24.7443,38.9447,12.0090,0.9342,0.0669,0.6800,0.6193,106.5030,10.4000,0.5200
normal,10,RISC-V-like,Contextual Bandit RL,61.2855,75.6137,15.2142,0.9656,0.0677,0.7800,0.4101,214.9240,28.0000,1.4000
normal,10,RISC-V-like,PRM,44.2446,58.5729,35.2720,0.9656,0.0677,0.6000,0.3538,214.9240,11.6000,0.5800
normal,10,RISC-V-like,PRR,45.8663,60.1946,33.0431,0.9656,0.0677,0.7000,0.3710,214.9240,18.2000,0.9100
normal,10,RISC-V-like,Proposed Hybrid,50.6096,64.9379,27.0350,0.9656,0.0677,0.8000,0.4006,214.9240,25.2000,1.2600
normal,20,RISC-V-like,Contextual Bandit RL,137.2284,151.4283,30.8566,0.9822,0.0693,0.8700,0.1340,425.9966,59.8000,2.9900
